username,content,label,clean_teks
hmja_pnj,"[ TRANSPORTASI MASA DEPAN, RAMAH LINGKUNGAN ATAU MERUSAK ALAM? ]


Presiden Joko Widodo menyampaikan bahwa pemerintah sangatlah optimis dengan adanya program percepatan kendaraan bermotor listrik yang berbasiskan penggunaan baterai.",2,"['transportasi', 'ramah', 'lingkung', 'rusak', 'alam', 'presiden', 'joko', 'widodo', 'perintah', 'optimis', 'program', 'cepat', 'kendara', 'motor', 'listrik', 'basis', 'baterai']"
faris_sina,Apakah Indonesia perlu membangun industri kendaraan listrik?,1,"['indonesia', 'bangun', 'industri', 'kendara', 'listrik']"
dinsposable,Kebayang jalanan bakal jadi sepi dan ga berisik lagi kalo semua orang dah pake kendaraan listrik,1,"['bayang', 'jalan', 'sepi', 'orang', 'pakai', 'kendara', 'listrik']"
lovelands_,"Seto pun menerangkan, sejumlah pabrikan teknologi serta kendaraan listrik belakangan sudah memiliki perhatian serius pada ketelusuran atau traceability dari bahan baku mineral komponen pembentuk produk mereka.

#UangPajakUntukPejabat",1,"['seto', 'terang', 'pabrikan', 'teknologi', 'kendara', 'listrik', 'milik', 'perhati', 'serius', 'telusur', 'traceability', 'bahan', 'baku', 'mineral', 'komponen', 'bentuk', 'produk']"
BangKibo20,"@psi_id Keren, beralih ke kendaraan listrik. Semoga dapat digunakan sebaik-baiknya",2,"['keren', 'alih', 'kendara', 'listrik']"
ArsjadRasjid,"@RogerCookMLA Penandatanganan ini merupakan tindak lanjut dari pertemuan kami saat di B20 tahun lalu.

Kami sepakat untuk bekerja bersama-sama, mengeksplorasi peluang dalam membangun rantai pasok mineral dan menjadi global hub produksi baterai kendaraan listrik.",2,"['penandatanganan', 'rupa', 'tindak', 'temu', 'sepakat', 'kerja', 'eksplorasi', 'peluang', 'bangun', 'rantai', 'pasok', 'mineral', 'global', 'hubung', 'produksi', 'baterai', 'kendara', 'listrik']"
MiningIndonesia,"Ketika memasuki era mobil listrik, Indonesia berpeluang besar masuk dalam industri mobil listrik sebagai produsen utama baterai lithium, karena nikel merupakan bahan utama pembuatan baterai untuk kendaraan listrik.",1,"['pasuk', 'era', 'mobil', 'listrik', 'indonesia', 'peluang', 'masuk', 'industri', 'mobil', 'listrik', 'produsen', 'utama', 'baterai', 'lithium', 'nikel', 'rupa', 'bahan', 'utama', 'baterai', 'kendara', 'listrik']"
bumnplgsigap,"Hal ini dilakukan untuk mendukung target pemerintah dalam transisi energi sekaligus pengurangan emisi karbon.

PLN siap mengoptimalkan infrastruktur ekosistem kendaraan listrik sebagaimana arahan Presiden RI Joko Widodo untuk mempercepat transisi energi melalui ekosistem EV.",2,"['laku', 'dukung', 'target', 'perintah', 'transisi', 'energi', 'emisi', 'karbon', 'pln', 'optimal', 'infrastruktur', 'ekosistem', 'kendara', 'listrik', 'arah', 'presiden', 'joko', 'widodo', 'cepat', 'transisi', 'energi', 'ekosistem', 'ev']"
rhyss001,@nusantara_one Apakah @pln_123 sudah punya masterplan mengantisipasi kapasitas kebutuhan listrik dan infrastruktur untuk cas kendaraan listrik di pengguna rumah2 dan fasilitas umum?,1,"['masterplan', 'antisipasi', 'kapasitas', 'butuh', 'listrik', 'infrastruktur', 'cas', 'kendara', 'listrik', 'rumah', 'fasilitas']"
DararingIlham,@OposisiCerdas @megalistaz Rugi dlm hal apa....???aku tuh curiganya kita malah rugi klu beralih ke kendaraan listrik.itu krn semua omongan mereka² ini ga ada yg bisa dipercaya.kenyataannya selalu terbalik.,0,"['rugi', 'curiga', 'rugi', 'alih', 'kendara', 'listrik', 'omong', 'percaya', 'nyata']"
Ugi7498,@OposisiCerdas Bahasa marketing dari pejabat pemerintah. Bukannya yg rugi pemerintahnya klo pejabat dan operasional PNS tidak menggunakan kendaraan listrik.,0,"['bahasa', 'marketing', 'jabat', 'perintah', 'rugi', 'perintah', 'jabat', 'operasional', 'pns', 'kendara', 'listrik']"
jobseekpura,"@infojakarta @DKIJakarta arahan dari pusat, bisnis kendaraan listrik sudah dikuasai tinggal pasarnya saja yang perlu dihidupkan",2,"['arah', 'pusat', 'bisnis', 'kendara', 'listrik', 'asai', 'tinggal', 'pasar', 'hidup']"
MulLayau,"@CNNIndonesia Kendaraan listrik tidak cocok untuk urusan bisnis atau perjalanan jauh
Apalagi keluar kota sangat lamban",0,"['kendara', 'listrik', 'cocok', 'urus', 'bisnis', 'jalan', 'kota', 'lamban']"
sgbrd,"@ridwanhr Kalau punya kendaraan listrik yang harus pertama beli tabung APAR merah, karena sekalinya baterai muncul api malah bakal memburuk pas disiram air",0,"['kendara', 'listrik', 'beli', 'tabung', 'apar', 'merah', 'baterai', 'muncul', 'api', 'buruk', 'siram', 'air']"
levinaardia,@iMedKrisna Dialihkan ke subsidi kendaraan listrik nampaknya. Plus kepentok sama aturan kemenperin soal barang impor. Huft. Kek pepes manusia klo jam pulang pergi kantor,0,"['alih', 'subsidi', 'kendara', 'listrik', 'nampaknya', 'plus', 'kepentok', 'atur', 'menteri', 'industri', 'barang', 'impor', 'pepes', 'manusia', 'pulang', 'pergi', 'kantor']"
anindyabakrie,"Agar target Net Zero Emission bisa tercapai dan Indonesia akan menjadi pemimpin dunia di sektor kendaraan listrik.

Indonesia bisa!

#kendaraanlistrik #BusListrik #BusListrikVKTR #VKTR",2,"['target', 'net', 'zero', 'emission', 'capai', 'indonesia', 'pimpin', 'dunia', 'sektor', 'kendara', 'listrik', 'indonesia']"
umay_patria,"@AlMawardin7 Boro2 mikirin kendaraan listrik, bayar listrik aja telat tiap bulan kok pak 🤣",0,"['pikir', 'kendara', 'listrik', 'bayar', 'listrik', 'telat']"
anindyabakrie,"Kami di Kelompok Usaha Bakrie sendiri sudah menjadi pemain bisnis otoparts lebih dari 40 tahun melalui @BakrieAutoparts . Kini melalui @VKTR_id kami berupaya untuk membangun industri manufaktur kendaraan listrik untuk meningkatkan Taraf Kandungan Dalam Negri (TKDN). 

#BusListrik",2,"['kelompok', 'usaha', 'bakrie', 'main', 'bisnis', 'otoparts', 'upaya', 'bangun', 'industri', 'manufaktur', 'kendara', 'listrik', 'tingkat', 'taraf', 'kandung', 'negeri', 'tkdn']"
OmJack26616095,"@infojakarta @DKIJakarta Anggap saja sebagai promosi berjalan, sosialisasi penggunaan kendaraan bermotor tenaga listrik",2,"['anggap', 'promosi', 'jalan', 'sosialisasi', 'kendara', 'motor', 'tenaga', 'listrik']"
BJKT2Terpercaya,"Electrizen, Presiden RI Joko Widodo mengajak semua pihak mendorong penggunaan kendaraan listrik pada gelaran Indonesia International Motor Show 2023 di Jiexpo Kemayoran. 
Hal ini dilakukan untuk mendukung target pemerintah dalam transisi energi sekaligus pengurangan emisi karbon.",2,"['electrizen', 'presiden', 'joko', 'widodo', 'ajak', 'dorong', 'kendara', 'listrik', 'gelar', 'indonesia', 'international', 'motor', 'show', 'jiexpo', 'mayor', 'laku', 'dukung', 'target', 'perintah', 'transisi', 'energi', 'emisi', 'karbon']"
arifudaijobu,Yang kayak gini masih mau subsidi kendaraan listrik?,0,"['subsidi', 'kendara', 'listrik']"
podo_radong1,"@AlMawardin7 coba cek kendaraan listrik mana yg disubsidi?
buatan mana?
harga pokok brp?",0,"['coba', 'cek', 'kendara', 'listrik', 'subsidi', 'harga', 'pokok']"
Alberto06Fans,"@detikcom Gw mah akan ttep pakai motor/mobil pribadi, 

Coba sini pejabatnya naik kendaraan umum jg, biar bisa bikin solusi yg rasional, selama pejabat kmn2 msh di kawal, sana sini disuruh minggir di jalan, sini dulu rasain biar tau rasanya

Ini malah ksh subsidi kendaraan listrik",0,"['pakai', 'motor', 'mobil', 'pribadi', 'coba', 'jabat', 'kendara', 'biar', 'bikin', 'solusi', 'rasional', 'jabat', 'kawal', 'suruh', 'minggir', 'jalan', 'rasain', 'biar', 'kasih', 'subsidi', 'kendara', 'listrik']"
spider9761,@detikcom Solusinya beli kendaraan listrik harga diskon,2,"['solusi', 'beli', 'kendara', 'listrik', 'harga', 'diskon']"
PakarINTELek,"Indonesia juga perlu mengintegrasikan semua komponen kendaraan listrik yang tersebar di seluruh Tanah Air. Mulai dari nikel yang ada di Pulau Sulawesi, tembaga yang ada di Sumbawa dan Papua, timah yang ada di Bangka Belitung, hingga bauksit yang ada di Kalbar dan Kepulauan Riau.",2,"['indonesia', 'integrasi', 'komponen', 'kendara', 'listrik', 'sebar', 'tanah', 'air', 'nikel', 'pulau', 'sulawesi', 'tembaga', 'sumbawa', 'papua', 'timah', 'bangka', 'belitung', 'bauksit', 'kalbar', 'pulau', 'riau']"
PakarINTELek,Presiden menjelaskan bahwa Indonesia memiliki peluang dan kesempatan untuk menjadi negara maju. Salah satunya melalui ekosistem industri kendaraan listrik dimana semua komponen yang dibutuhkan oleh kendaraan listrik ada di Indonesia.,2,"['presiden', 'indonesia', 'milik', 'peluang', 'negara', 'maju', 'salah', 'ekosistem', 'industri', 'kendara', 'listrik', 'komponen', 'butuh', 'kendara', 'listrik', 'indonesia']"
Agus_Purwadi,"@CNNIndonesia Kalau masih ada yang jualan Pertamax dan sejenisnya, saya masih belum mau beralih ke Kendaraan Listrik.",0,"['jual', 'pertamax', 'jenis', 'alih', 'kendara', 'listrik']"
voxyimpianku,"@detikcom Solusi dari pemerintah, 
Subsidi kendaraan listrik 👍",2,"['solusi', 'perintah', 'subsidi', 'kendara', 'listrik']"
PDI_Perjuangan,"Salah satunya melalui ekosistem industri kendaraan listrik dimana semua komponen yang dibutuhkan oleh kendaraan listrik ada di Indonesia.

#PDIPerjuangan
#50tahunPDIP
#bangunlahjiwadanbadannya
#SolidBergerak",2,"['salah', 'ekosistem', 'industri', 'kendara', 'listrik', 'komponen', 'butuh', 'kendara', 'listrik', 'indonesia']"
r1dwan__,"@strike_bravo_b Tetep aja macet,dan ada yg tambah kaya klo kendaraan listrik laris 🤭",0,"['macet', 'kaya', 'kendara', 'listrik', 'laris']"
kourzates,@txtdrpemerintah Emang kapan mau dibangun infrastruktur kendaraan listrik terutama jalan2 kabupaten di luar jawa-bali? Yakin terealisasi dalam 5-10 thn? Dana bukannya banyak yg masuk ke IKN? Mohon maaf Indonesia bukan cuma Jakarta dan kota besar di Jawa-Bali aja.,0,"['emang', 'bangun', 'infrastruktur', 'kendara', 'listrik', 'utama', 'jalan', 'kabupaten', 'jawa', 'bal', 'realisasi', 'dana', 'masuk', 'ikn', 'mohon', 'maaf', 'indonesia', 'jakarta', 'kota', 'jawa', 'bal']"
hashiromui,@strike_bravo_b Nyuruh masyarakat pake kendaraan listrik tp tempat ngisi batrenya dikit dan jaraknya jauh 🙃,0,"['nyuruh', 'masyarakat', 'pakai', 'kendara', 'listrik', 'isi', 'batrenya', 'jarak']"
kazuya_zinan,@CNNIndonesia Daripada buat subsidi kendaraan listrik mending buat subsidi sembako,0,"['subsidi', 'kendara', 'listrik', 'mending', 'subsidi', 'sembako']"
inang123__,"@imbangimedia212 @KPK_RI @bpkri @sahabatICW @tempodotco @kompascom @BEM_SI @BEMUI_Official @bemkm_ugm Tanpa kendaraan listrik pun  rakyat udah sengsara karna ulah mereka, gimana dengan adanya kendaraan listrik? 
Pasti tarif listriknya naik lagi.",0,"['kendara', 'listrik', 'rakyat', 'sengsara', 'ulah', 'kendara', 'listrik', 'tarif', 'listrik']"
taharudddin,"@democrazymedia DPR RI harus memastikan subsidi untuk kendaraan listrik ini berupa dana cash tidak ada, masih banyak kebutuhan rakyat yang lebih urgent daripada mengsubsidi kendaraan listrik, kalau memang mendukung ga usah dipajakin tuh kendaraan",0,"['dpr', 'subsidi', 'kendara', 'listrik', 'upa', 'dana', 'cash', 'butuh', 'rakyat', 'urgent', 'mengsubsidi', 'kendara', 'listrik', 'dukung', 'dipajakin', 'kendara']"
nandi_sch,@OposisiCerdas Luhut yang rugi kalau kendaraan listrik kagak laku.,0,"['luhut', 'rugi', 'kendara', 'listrik', 'laku']"
TarunaAdjie1,@democrazymedia Kau kan bayangannya Presiden suka2 kau saja lah Luhut ! bila perlu SPBU se Indonesia kau tutup saja biar semua orang beralih ke Kendaraan listrik atau BBM tiap hari kau naikin saja ! biar kau untung banyak dan bisa hidup sendiri ! Rakyat biarkanlah mampus !,0,"['kau', 'bayang', 'presiden', 'suka', 'kau', 'luhut', 'spbu', 'indonesia', 'kau', 'tutup', 'biar', 'orang', 'alih', 'kendara', 'listrik', 'bbm', 'kau', 'naikin', 'biar', 'kau', 'untung', 'hidup', 'rakyat', 'biar', 'mampus']"
3gpKucing,"@justaldys_ @txtdrpemerintah iya bener, udah dikasih transport murah protes mulu, kalo gak suka ya naik kendaraan pribadi aja. gapapa biar aja jakarta makin macet, kan bisa beli kendaraan listrik , biar pemerintah untung jualan nikel. biar aja rakyat mah sengsara di jalan, yg penting untung.",0,"['bener', 'kasih', 'transport', 'murah', 'protes', 'mulu', 'suka', 'kendara', 'pribadi', 'biar', 'jakarta', 'macet', 'beli', 'kendara', 'listrik', 'biar', 'perintah', 'untung', 'jual', 'nikel', 'biar', 'rakyat', 'sengsara', 'jalan', 'untung']"
aridewa94204670,@OposisiCerdas knp sih kok maksa2 suruh pake kendaraan listrik?bikin curiga aja sih,0,"['maksa', 'suruh', 'pakai', 'kendara', 'listrik', 'bikin', 'curiga']"
TarunaAdjie1,@OposisiCerdas Buat genjot motor/kendaran listrik cepat laku dan biar si OPUNG untung gede sepertinya akan ada kenaikan pertalite kembali agar orang beralih ke Motor/Kendaraan listrik. Opung untung terus Pung ampe rakyat mampus Pung ! biar Opung bisa hidup sendiri saja !,0,"['genjot', 'motor', 'kendara', 'listrik', 'cepat', 'laku', 'biar', 'opung', 'untung', 'pertalite', 'orang', 'alih', 'motor', 'kendara', 'listrik', 'opung', 'untung', 'pung', 'rakyat', 'mampus', 'pung', 'biar', 'opung', 'hidup']"
Mbok_Ewett,@inang123__ Jika rakyat menolak kendaraan listrik maka ia akan merugi makanya ia khawatir,0,"['rakyat', 'tolak', 'kendara', 'listrik', 'rugi', 'khawatir']"
MashaNdeber,"Ada motor listrik dan kendaraan taktis (rantis) dari PT Pindad yang dipamerkan di lokasi. 

Prabowo Subianto
#PrabowoPemersatu
#BangkitBersama",1,"['motor', 'listrik', 'kendara', 'taktis', 'rantis', 'pt', 'pindad', 'pamer', 'lokasi', 'prabowo', 'subianto']"
YSakhrul,@OposisiCerdas Luhut: saya rugi besar jika masyarakat tidak berpindah ke kendaraan listrik ✌️,0,"['luhut', 'rugi', 'masyarakat', 'pindah', 'kendara', 'listrik']"
Agust_arm,@OposisiCerdas Rugi juga kalau harus bayar mahal untuk kendaraan listrik,0,"['rugi', 'bayar', 'mahal', 'kendara', 'listrik']"
achmad_kusnanto,"@kumparan Lah........ Untuk mengurangi kemacetan Yo di paksa buat naik kendaraan umum..... Bukannya mobil listrik.  Kalo setiap orang memakai mobil listrik, Yo jalanan tetep macet..... Kecuali ada maksud...... Proyek cuan....",0,"['macet', 'paksa', 'kendara', 'mobil', 'listrik', 'orang', 'pakai', 'mobil', 'listrik', 'jalan', 'macet', 'kecuali', 'maksud', 'proyek', 'cuan']"
ATopurudin,@OposisiCerdas Yang rugi mereka yang terlibat dalam industri kendaraan listrik,0,"['rugi', 'libat', 'industri', 'kendara', 'listrik']"
zaki_zainuri,@CNNIndonesia Belum make kendaraan listrik aja rakyat udh rugi banyak loh pak..,0,"['pakai', 'kendara', 'listrik', 'rakyat', 'rugi']"
KSumpel,"@OposisiCerdas Kl masyarakat pindah ke kendaraan listrik, negara yg rugi donk..
Karena harus ngasih subsidi pembelian kendaraan listrik ke perusahaan..
Pdhal bisa digunakan untuk yg lain.. kecuali kl masyarakatnya g mau disubsidi..",0,"['kl', 'masyarakat', 'pindah', 'kendara', 'listrik', 'negara', 'rugi', 'subsidi', 'beli', 'kendara', 'listrik', 'usaha', 'kecuali', 'kl', 'masyarakat', 'subsidi']"
luckysouw167,@CNNIndonesia Untuk opung asumsi saja ya. Kendaraan listrik untuk penjualannya lebih mahal dibandingkan kendaraan yg memakain bensin. untuk maintenace kendaraan listrik juga murah. Hanya saja apakah PLN atau stasiun pengecasan mobil listrik sudah tersedia di seluruh indonesia atau hanya jawa saja yg baru ada?,0,"['opung', 'asumsi', 'kendara', 'listrik', 'jual', 'mahal', 'banding', 'kendara', 'bensin', 'maintenace', 'kendara', 'listrik', 'murah', 'pln', 'stasiun', 'cas', 'mobil', 'listrik', 'sedia', 'indonesia', 'jawa']"
ressy_ys,"@AlMawardin7 Pak boro2 mau beli kendaraan listrik 
Mau beli beras aja sulit pak 
Bapak pikir kami itu penjahat yg korupsi uang rakyat tp masih dapat potongan hukuman 
",0,"['beli', 'kendara', 'listrik', 'beli', 'beras', 'sulit', 'pikir', 'jahat', 'korupsi', 'uang', 'rakyat', 'potong', 'hukum']"
geekfender,"@OposisiCerdas kalau kendaraan listrik gak laku, luhut pasti rugi",0,"['kendara', 'listrik', 'laku', 'luhut', 'rugi']"
Logikaan,"@txtdrpemerintah Saya pengen banget ganti kendaraan listrik, pak. Tapi ngga ada duitnya :')",2,"['banget', 'ganti', 'kendara', 'listrik', 'duit']"
herru_ormega,"@kumparan nga ada hubungan pengadaan mobil listrik dgn macet. malah menambah kemacetan jika pergantian kendaraan pilihannya tanpa menghancurkan kendaraan lama. 
yg ada kendaraan lama tetap dipakai, ada tambahan mobil listrik baru. ",0,"['hubung', 'mobil', 'listrik', 'macet', 'macet', 'ganti', 'kendara', 'pilih', 'hancur', 'kendara', 'kendara', 'pakai', 'mobil', 'listrik']"
selita_putri,"@datanesia_id Seperti diketahui, pemerintah Indonesia sudah menetapkan target memproduksi 600 ribu mobil listrik dan 2,45 juta kendaraan roda dua listrik pada 2030.",2,"['perintah', 'indonesia', 'target', 'produksi', 'ribu', 'mobil', 'listrik', 'juta', 'kendara', 'roda', 'listrik']"
WindaSa05479561,"@datanesia_id Sebelumnya, Menteri Perindustrian Agus Gumiwang Kartasasmita mengatakan pemerintah bakal mensubsidi kendaraan listrik untuk mendukung peran Indonesia dalam menurunkan emisi karbon.",2,"['menteri', 'industri', 'agus', 'gumiwang', 'kartasasmita', 'perintah', 'subsidi', 'kendara', 'listrik', 'dukung', 'peran', 'indonesia', 'turun', 'emisi', 'karbon']"
